,Unnamed: 0,Unnamed: 0.1,id,public_metrics.following_count,public_metrics.followers_count,public_metrics.tweet_count,username,name,party,gender,politician_attention,total_number,total_unity,total_commitment,diversity,woman_number,woman_unity,woman_commitment,man_number,man_unity,man_commitment,media_number,media_unity,media_commitment
88,88,88,606953861,412,2610,1038,kouji_satou,佐藤公治,立憲民主党,1,0.0,149.0,0.1330575613557026,0.4262345679012345,0.4234404536862004,80.0,0.0333333333333333,0.432047619047619,35.0,0.0938871473354232,0.2222222222222222,34.0,0.0,0.6875
89,89,89,1078634612,891,87985,5447,junyaog,小川淳也,立憲民主党,1,4.0,602.0,0.1555374118744237,0.3273336457974014,0.4532896987891965,393.0,0.070566319645267,0.3486820977973427,209.0,0.0652380952380952,0.2686876342048755,0.0,0.0,0.0
90,90,90,264569048,217,1497,2561,inatomishuji,稲富修二,立憲民主党,1,0.0,111.0,0.0682281393819855,0.5225694444444444,0.4672796106003245,27.0,0.0782828282828282,0.1363636363636363,16.0,0.0,0.6,68.0,0.0119047619047619,0.7807017543859649
91,91,91,36592757,1365,6639,17014,kiitakashi,城井崇,立憲民主党,1,9.0,545.0,0.1594798121268709,0.4366568485229742,0.4999829007215897,170.0,0.0655820105820105,0.3129310344827586,172.0,0.0141666666666666,0.4566054635020152,203.0,0.0261904761904761,0.5447530864197531
92,92,92,96684891,5401,262119,49655,kharaguchi,原口一博,立憲民主党,1,39.0,754.0,0.2839237789759611,0.3631765871421043,0.1707538296156947,663.0,0.2560781888935289,0.3602945589173373,69.0,0.0249999999999999,0.3442028985507246,22.0,0.019047619047619,0.5416666666666666
93,93,93,1226685006,358,10324,6003,OogushiHiroshi,大串博志,立憲民主党,1,1.0,115.0,0.0380952380952381,0.3530864197530864,0.4969376181474479,53.0,0.0477272727272727,0.2595238095238095,62.0,0.0046296296296296,0.432051282051282,0.0,0.0,0.0
94,94,94,1048117513161072640,1205,1990,1096,yamabiko719,山田勝彦,立憲民主党,1,0.0,488.0,0.0842227300276835,0.4049217293092066,0.499966406879871,246.0,0.0427777777777777,0.4248270886201921,242.0,0.029563492063492,0.4288799323282082,0.0,0.0,0.0
95,95,95,738612877288833024,509,1851,1057,MWatasou,渡辺創,立憲民主党,1,0.0,909.0,0.1650134625134625,0.5427916876413217,0.2426958476512049,105.0,0.0147058823529411,0.4227969348659003,638.0,0.0973280423280423,0.5435293046988361,166.0,0.0166666666666666,0.701410934744268
96,96,96,1081881492,390,1266,7766,ishinhideaki,高橋　英明たかはし　ひであき,日本維新の会,1,0.0,286.0,0.1160322616469542,0.4873157596371882,0.2583219954648525,16.0,0.03,0.125,89.0,0.0534851621808143,0.3682539682539683,181.0,0.027713920817369,0.6171846011131724
97,97,97,1117381092,608,9667,48972,saitama_ishin,沢田　良さわだ　りょう,日本維新の会,1,1.0,190.0,0.0431481481481481,0.3479748221127532,0.317352976693636,36.0,0.0,0.4888888888888889,146.0,0.0346031746031746,0.2926406926406926,8.0,0.0,1.0
98,98,98,192505772,1585,29141,11052,taisukeono,小野　たいすけおの　たいすけ,日本維新の会,1,1.0,434.0,0.2162071664865562,0.4004190254190255,0.2081176619113747,314.0,0.1241421571055438,0.3189866646763198,42.0,0.0088235294117647,0.5041666666666667,78.0,0.0192307692307692,0.69
99,99,99,1229728848012443648,884,3736,3904,abe2kasa,阿部　司あべ　つかさ,日本維新の会,1,2.0,506.0,0.118107263107263,0.4848358699471649,0.1643288241415192,423.0,0.0876455026455026,0.4851798668989339,42.0,0.0,0.337719298245614,41.0,0.0,0.7333333333333333
100,100,100,117669067,1682,2173,6881,asakawayosiharu,浅川　義治あさかわ　よしはる,日本維新の会,1,1.0,795.0,0.2226076117923943,0.4582620546896729,0.198634261858343,556.0,0.1407586736934562,0.3855970826559061,70.0,0.0,0.5617283950617284,169.0,0.025287356321839,0.6269274376417233
101,101,101,1306470216352690176,478,2514,1928,you__yachainayo,金村　りゅうなかねむら　りゅうな,日本維新の会,0,0.0,172.0,0.0405555555555555,0.2981253420908593,0.4577474310438074,111.0,0.035,0.328735632183908,61.0,0.0,0.2205882352941176,0.0,0.0,0.0
102,102,102,148219028,457,2580,2275,minobeteruo,ミノベ　テルオみのべ　てるお,日本維新の会,1,0.0,115.0,0.0493589743589743,0.3783809523809524,0.4716553287981859,24.0,0.0716666666666666,0.3020833333333333,39.0,0.0,0.09375,52.0,0.0075757575757575,0.7125
103,103,103,246074092,802,2436,1331,urumageorge,うるま　譲司うるま　じょうじ,日本維新の会,1,0.0,108.0,0.0604166666666666,0.0598765432098765,0.4792524005486969,43.0,0.0519841269841269,0.0433333333333333,65.0,0.0341435185185185,0.0847826086956521,0.0,0.0,0.0
104,104,104,218295612,19,196027,54566,adachiyasushi,あだち　康史あだち　やすし,日本維新の会,1,14.0,2.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
105,105,105,210687251,491,5701,3823,iketaku_0410,池下　卓いけした　たく,日本維新の会,1,0.0,44.0,0.0,0.1825396825396825,0.3813280736357658,29.0,0.0,0.2569444444444444,10.0,0.0,0.2,5.0,0.0,1.0
